1881	12	02	AberdeenWeeklyJournal	0003	1881	12	01	LiverpoolMercuryetc	0008
1881	12	02	BirminghamDailyPost	0006	1881	12	01	LiverpoolMercuryetc	0008
1881	12	02	BirminghamDailyPost	0008	1881	12	01	ThePallMallGazette	0008
1881	12	02	DailyNews	0007	1881	12	01	AberdeenWeeklyJournal	0003
1881	12	02	Freeman'sJournalandDailyCommercialAdvertiser	0003	1881	12	01	AberdeenWeeklyJournal	0003
1881	12	02	LiverpoolMercuryetc	0005	1881	12	01	ThePallMallGazette	0008
1881	12	02	LiverpoolMercuryetc	0008	1881	12	01	AberdeenWeeklyJournal	0003
1881	12	02	NorthernEcho	0003	1881	12	01	ThePallMallGazette	0008
1881	12	02	TheBristolMercuryandDailyPost	0002	1881	12	01	DailyNews	0005
1881	12	02	TheBristolMercuryandDailyPost	0003	1881	12	01	DailyNews	0002
1881	12	02	TheBristolMercuryandDailyPost	0007	1881	12	01	AberdeenWeeklyJournal	0003
1881	12	02	TheLeedsMercury	0002	1881	12	01	TheBristolMercuryandDailyPost	0006
1881	12	02	TheLeedsMercury	0006	1881	12	01	AberdeenWeeklyJournal	0003
1881	12	02	TheLeedsMercury	0008	1881	12	01	ThePallMallGazette	0008
1881	12	03	AberdeenWeeklyJournal	0003	1881	12	01	LiverpoolMercuryetc	0008
1881	12	03	BirminghamDailyPost	0006	1881	12	01	AberdeenWeeklyJournal	0003
1881	12	03	DailyNews	0005	1881	12	02	ThePallMallGazette	0008
1881	12	03	GlasgowHerald	0005	1881	12	02	ThePallMallGazette	0008
1881	12	03	GlasgowHerald	0007	1881	12	02	BirminghamDailyPost	0006
1881	12	03	HampshireTelegraphandSussexChronicleetc	0002	1881	12	01	LiverpoolMercuryetc	0003
1881	12	03	HampshireTelegraphandSussexChronicleetc	0008	1881	12	02	ThePallMallGazette	0008
1881	12	03	Jackson'sOxfordJournal	0002	1881	12	02	TheBristolMercuryandDailyPost	0007
1881	12	03	LiverpoolMercuryetc	0005	1881	12	02	TheBristolMercuryandDailyPost	0006
1881	12	03	LiverpoolMercuryetc	0006	1881	12	02	TheLeedsMercury	0008
1881	12	03	LiverpoolMercuryetc	0008	1881	12	02	BirminghamDailyPost	0006
1881	12	03	TheBristolMercuryandDailyPost	0002	1881	12	02	ThePallMallGazette	0014
1881	12	03	TheBristolMercuryandDailyPost	0008	1881	12	02	AberdeenWeeklyJournal	0005
1881	12	03	TheBristolMercuryandDailyPost	S0003	1881	12	02	BirminghamDailyPost	0008
1881	12	03	TheBristolMercuryandDailyPost	S0005	1881	12	01	WesternMail	0003
1881	12	03	TheBristolMercuryandDailyPost	S0006	1881	12	02	TheLeedsMercury	0002
1881	12	03	TheBristolMercuryandDailyPost	S0007	1881	12	02	WesternMail	0003
1881	12	03	TheIpswichJournal	0002	1881	12	02	TheBristolMercuryandDailyPost	0007
1881	12	03	TheIpswichJournal	0003	1881	12	02	TheHullPacketandEastRidingTimes	0001
1881	12	03	TheIpswichJournal	0007	1881	12	02	TheHullPacketandEastRidingTimes	0007
1881	12	03	TheIpswichJournal	0010	1881	12	01	NorthernEcho	0003
1881	12	03	TheLeedsMercury	0011	1881	12	01	AberdeenWeeklyJournal	0003
1881	12	03	TheLeedsMercury	S0002	1881	12	02	BirminghamDailyPost	0008
1881	12	03	WesternMail	0003	1881	12	02	AberdeenWeeklyJournal	0005
1881	12	04	Lloyd'sWeeklyNewspaper	0002	1881	12	02	LiverpoolMercuryetc	0005
1881	12	04	Lloyd'sWeeklyNewspaper	0003	1881	12	03	TheBristolMercuryandDailyPost	S0002
1881	12	04	Lloyd'sWeeklyNewspaper	0007	1881	12	03	LiverpoolMercuryetc	0006
1881	12	04	Lloyd'sWeeklyNewspaper	0008	1881	12	02	Freeman'sJournalandDailyCommercialAdvertiser	0005
1881	12	04	Reynolds'sNewspaper	0001	1881	12	03	TheIpswichJournal	0007
1881	12	04	Reynolds'sNewspaper	0002	1881	12	03	TheBristolMercuryandDailyPost	S0002
1881	12	04	Reynolds'sNewspaper	0003	1881	12	03	TheIpswichJournal	0010
1881	12	04	Reynolds'sNewspaper	0004	1881	12	03	TheIpswichJournal	0008
1881	12	04	Reynolds'sNewspaper	0005	1881	12	01	DailyNews	0006
1881	12	04	Reynolds'sNewspaper	0008	1881	12	02	TheBristolMercuryandDailyPost	0003
1881	12	05	AberdeenWeeklyJournal	0002	1881	12	03	TheBristolMercuryandDailyPost	0006
1881	12	05	AberdeenWeeklyJournal	0003	1881	12	02	TheLeedsMercury	0006
1881	12	05	BirminghamDailyPost	0006	1881	12	01	LiverpoolMercuryetc	0008
1881	12	05	BirminghamDailyPost	0008	1881	12	04	Lloyd'sWeeklyNewspaper	0001
1881	12	05	GlasgowHerald	0005	1881	12	01	AberdeenWeeklyJournal	0003
1881	12	05	LiverpoolMercuryetc	0003	1881	12	03	ThePallMallGazette	0012
1881	12	05	LiverpoolMercuryetc	0005	1881	12	03	TheLeedsMercury	0007
